X,Y,Universe,Channel,Name
64,6,6,234,"RGB_light #0333"
65,6,6,237,"RGB_light #0334"
66,6,6,240,"RGB_light #0335"
66,7,6,225,"RGB_light #0336"
65,7,6,228,"RGB_light #0337"
64,7,6,231,"RGB_light #0338"
64,8,6,216,"RGB_light #0339"
65,8,6,219,"RGB_light #0340"
66,8,6,222,"RGB_light #0341"
66,9,6,207,"RGB_light #0342"
65,9,6,210,"RGB_light #0343"
64,9,6,213,"RGB_light #0344"
64,10,6,198,"RGB_light #0345"
65,10,6,201,"RGB_light #0346"
66,10,6,204,"RGB_light #0347"
66,11,6,189,"RGB_light #0348"
65,11,6,192,"RGB_light #0349"
64,11,6,195,"RGB_light #0350"
64,12,6,180,"RGB_light #0351"
65,12,6,183,"RGB_light #0352"
66,12,6,186,"RGB_light #0353"
66,13,6,171,"RGB_light #0354"
65,13,6,174,"RGB_light #0355"
64,13,6,177,"RGB_light #0356"
64,14,6,162,"RGB_light #0357"
65,14,6,165,"RGB_light #0358"
66,14,6,168,"RGB_light #0359"
66,15,6,153,"RGB_light #0360"
65,15,6,156,"RGB_light #0361"
64,15,6,159,"RGB_light #0362"
66,17,6,135,"RGB_light #0363"
65,17,6,138,"RGB_light #0364"
62,18,6,141,"RGB_light #0365"
63,17,6,144,"RGB_light #0366"
65,16,6,147,"RGB_light #0367"
66,16,6,150,"RGB_light #0368"
67,19,6,123,"RGB_light #0369"
66,19,6,126,"RGB_light #0370"
65,19,6,129,"RGB_light #0371"
64,19,6,132,"RGB_light #0372"
63,20,6,111,"RGB_light #0373"
65,20,6,114,"RGB_light #0374"
66,20,6,117,"RGB_light #0375"
67,20,6,120,"RGB_light #0376"
68,21,6,99,"RGB_light #0377"
67,21,6,102,"RGB_light #0378"
66,21,6,105,"RGB_light #0379"
64,21,6,108,"RGB_light #0380"
65,22,6,93,"RGB_light #0381"
66,22,6,96,"RGB_light #0382"
67,23,6,84,"RGB_light #0383"
66,23,6,87,"RGB_light #0384"
65,23,6,90,"RGB_light #0385"
66,24,6,78,"RGB_light #0386"
67,24,6,81,"RGB_light #0387"
68,25,6,69,"RGB_light #0388"
67,25,6,72,"RGB_light #0389"
66,25,6,75,"RGB_light #0390"
66,26,6,63,"RGB_light #0391"
67,26,6,66,"RGB_light #0392"
67,27,6,54,"RGB_light #0393"
66,27,6,57,"RGB_light #0394"
65,27,6,60,"RGB_light #0395"
66,28,6,51,"RGB_light #0396"
68,29,6,39,"RGB_light #0397"
67,29,6,42,"RGB_light #0398"
66,29,6,45,"RGB_light #0399"
65,29,6,48,"RGB_light #0400"
66,30,6,33,"RGB_light #0401"
67,30,6,36,"RGB_light #0402"
67,31,6,24,"RGB_light #0403"
66,31,6,27,"RGB_light #0404"
65,31,6,30,"RGB_light #0405"
66,32,6,15,"RGB_light #0406"
67,32,6,18,"RGB_light #0407"
68,32,6,21,"RGB_light #0408"
68,33,6,6,"RGB_light #0409"
67,33,6,9,"RGB_light #0410"
66,33,6,12,"RGB_light #0411"
66,34,6,0,"RGB_light #0412"
67,34,6,3,"RGB_light #0413"
13,46,8,0,"RGB_light #0414"
13,45,8,3,"RGB_light #0415"
13,44,8,6,"RGB_light #0416"
12,43,8,9,"RGB_light #0417"
12,44,8,12,"RGB_light #0418"
12,45,8,15,"RGB_light #0419"
12,46,8,18,"RGB_light #0420"
12,47,8,21,"RGB_light #0421"
11,48,8,24,"RGB_light #0422"
11,47,8,27,"RGB_light #0423"
11,46,8,30,"RGB_light #0424"
11,45,8,33,"RGB_light #0425"
11,44,8,36,"RGB_light #0426"
11,43,8,39,"RGB_light #0427"
11,42,8,42,"RGB_light #0428"
10,42,8,45,"RGB_light #0429"
10,43,8,48,"RGB_light #0430"
10,44,8,51,"RGB_light #0431"
10,45,8,54,"RGB_light #0432"
10,46,8,57,"RGB_light #0433"
10,47,8,60,"RGB_light #0434"
10,48,8,63,"RGB_light #0435"
9,48,8,66,"RGB_light #0436"
9,47,8,69,"RGB_light #0437"
8,48,8,72,"RGB_light #0438"
8,47,8,75,"RGB_light #0439"
8,46,8,78,"RGB_light #0440"
9,46,8,81,"RGB_light #0441"
9,45,8,84,"RGB_light #0442"
9,44,8,87,"RGB_light #0443"
9,43,8,90,"RGB_light #0444"
9,42,8,93,"RGB_light #0445"
8,42,8,96,"RGB_light #0446"
8,43,8,99,"RGB_light #0447"
8,44,8,102,"RGB_light #0448"
8,45,8,105,"RGB_light #0449"
7,45,8,108,"RGB_light #0450"
7,44,8,111,"RGB_light #0451"
7,43,8,114,"RGB_light #0452"
7,42,8,117,"RGB_light #0453"
6,42,8,120,"RGB_light #0454"
6,43,8,123,"RGB_light #0455"
6,44,8,126,"RGB_light #0456"
6,45,8,129,"RGB_light #0457"
6,46,8,132,"RGB_light #0458"
7,46,8,135,"RGB_light #0459"
7,47,8,138,"RGB_light #0460"
7,48,8,141,"RGB_light #0461"
5,48,8,144,"RGB_light #0462"
6,48,8,147,"RGB_light #0463"
6,47,8,150,"RGB_light #0464"
5,47,8,153,"RGB_light #0465"
5,46,8,156,"RGB_light #0466"
5,45,8,159,"RGB_light #0467"
5,44,8,162,"RGB_light #0468"
5,43,8,165,"RGB_light #0469"
5,42,8,168,"RGB_light #0470"
4,42,8,171,"RGB_light #0471"
4,43,8,174,"RGB_light #0472"
4,44,8,177,"RGB_light #0473"
4,45,8,180,"RGB_light #0474"
4,46,8,183,"RGB_light #0475"
4,47,8,186,"RGB_light #0476"
4,48,8,189,"RGB_light #0477"
3,48,8,192,"RGB_light #0478"
3,47,8,195,"RGB_light #0479"
3,46,8,198,"RGB_light #0480"
3,45,8,201,"RGB_light #0481"
3,44,8,204,"RGB_light #0482"
3,43,8,207,"RGB_light #0483"
3,42,8,210,"RGB_light #0484"
2,43,8,213,"RGB_light #0485"
2,47,8,216,"RGB_light #0486"
2,46,8,219,"RGB_light #0487"
2,45,8,222,"RGB_light #0488"
2,44,8,225,"RGB_light #0489"
1,44,8,228,"RGB_light #0490"
1,45,8,231,"RGB_light #0491"
1,46,8,234,"RGB_light #0492"
62,62,3,0,"RGB_light #0493"
63,62,3,3,"RGB_light #0494"
64,62,3,6,"RGB_light #0495"
65,62,3,9,"RGB_light #0496"
66,62,3,12,"RGB_light #0497"
67,62,3,15,"RGB_light #0498"
68,62,3,18,"RGB_light #0499"
69,62,3,21,"RGB_light #0500"
70,62,3,24,"RGB_light #0501"
71,62,3,27,"RGB_light #0502"
72,62,3,30,"RGB_light #0503"
63,63,3,33,"RGB_light #0504"
64,63,3,36,"RGB_light #0505"
65,63,3,39,"RGB_light #0506"
66,63,3,42,"RGB_light #0507"
67,63,3,45,"RGB_light #0508"
68,63,3,48,"RGB_light #0509"
69,63,3,51,"RGB_light #0510"
70,63,3,54,"RGB_light #0511"
71,63,3,57,"RGB_light #0512"
72,63,3,60,"RGB_light #0513"
65,64,3,63,"RGB_light #0514"
65,64,3,66,"RGB_light #0515"
66,64,3,69,"RGB_light #0516"
67,64,3,72,"RGB_light #0517"
68,64,3,75,"RGB_light #0518"
69,64,3,78,"RGB_light #0519"
70,64,3,81,"RGB_light #0520"
71,64,3,84,"RGB_light #0521"
65,65,3,87,"RGB_light #0522"
66,65,3,90,"RGB_light #0523"
67,65,3,93,"RGB_light #0524"
68,65,3,96,"RGB_light #0525"
69,65,3,99,"RGB_light #0526"
66,66,3,102,"RGB_light #0527"
67,66,3,105,"RGB_light #0528"
68,66,3,108,"RGB_light #0529"
66,67,3,111,"RGB_light #0530"
